LONGITUDE,LATITUDE,OBJECTID,WATBREAKINCIDENTID,INCIDENT_DATE,BREAK_TYPE,HOUR_IMPACTED,STATUS,BREAK_NATURE,BREAK_APPARENT_CAUSE,POSITIVE_PRESSURE_MAINTANED,AIR_GAP_MAINTANED,MECHANICAL_REMOVAL,FLUSHING_EXCAVATION,HIGHER_VELOCITY_FLUSHING,ANODE_INSTALLED,BREAK_CATEGORIZATION,ROADSEGMENTID,STREET,ASSETID,ASSET_SIZE,ASSET_YEAR_INSTALLED,ASSET_MATERIAL,ASSET_EXISTS,GLOBALID
-80.4653793603429,43.4412276173476,8031,1834,2013-03-21 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,CIRCUMFERENTIAL,COMBINATION,Y,Y,Y,Y,Y,Y,CATEGORY 1,10141,EDMUND RD,11480,150.0,1949.0,CI,Y,7cda0dff-d4ff-4664-90b9-4345319e1ca0
-80.4640335842823,43.46023267167,8032,1835,2013-03-21 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,CIRCUMFERENTIAL,AGE,Y,Y,Y,Y,Y,Y,CATEGORY 1,15895,LOIS ST,33410,150.0,1958.0,CI,Y,d2924d57-7add-45ea-9440-0b093cc98a9e
-80.4386473115543,43.4575877313849,8033,1836,2013-03-19 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,CORROSION AND CIRCUMFERENTIAL,AGE,Y,Y,Y,Y,Y,Y,CATEGORY 1,23175,QUEENSTON DR,31930,150.0,1966.0,DI,Y,cf131a39-ecde-4063-b8e9-d5b95c7a7f8f
-80.4514507158217,43.4374963918403,8034,1838,2013-03-10 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,CIRCUMFERENTIAL,AGE,Y,Y,Y,Y,Y,Y,CATEGORY 1,10044,PROSPECT AVE,31180,150.0,1954.0,CI,Y,88b4386d-a04a-4b8d-9d08-8b90ff8cee9c
-80.4530639406386,43.4227791340047,8035,1839,2013-03-07 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,CIRCUMFERENTIAL,COMBINATION,Y,Y,Y,Y,Y,Y,CATEGORY 1,21840,WOODHAVEN RD,43910,150.0,1954.0,CI,Y,487a920c-8d89-4904-82b6-ba6296f5c0b8
-80.4593759979052,43.4609163848347,8036,1840,2013-03-06 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,CIRCUMFERENTIAL,COMBINATION,Y,Y,Y,Y,Y,Y,CATEGORY 1,15747,ELKINGTON DR,84154,150.0,1959.0,CI,Y,07b60047-4eda-427d-9777-edb828a5821a
-80.4449894187932,43.4616680164392,8037,1842,2013-03-04 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,CIRCUMFERENTIAL,AGE,Y,Y,Y,Y,Y,Y,CATEGORY 1,15816,CONFEDERATION DR,7760,150.0,1966.0,CI,Y,8d8c2af1-ce55-49dd-b5d8-164629aad9ff
-80.4381950025831,43.4556546404614,8038,1843,2013-03-04 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,FITTING/JOINT,CORROSION,Y,Y,Y,Y,Y,Y,CATEGORY 1,23179,INDIAN RD,20260,150.0,1967.0,CI,Y,bfda303e-3b28-48e5-97f9-f7c47848c2fb
-80.4642699243863,43.4325422102442,8039,1844,2013-03-02 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,CIRCUMFERENTIAL,AGE,Y,Y,Y,Y,Y,Y,CATEGORY 1,603851,CORNELL AVE,8060,150.0,1958.0,CI,Y,29a9ef2c-f2c2-416f-a84d-5fce531f4df5
-80.4575775763232,43.4502765770418,8040,1845,2013-02-28 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,CIRCUMFERENTIAL,SOILS,Y,Y,Y,Y,Y,Y,CATEGORY 1,22879,MANCHESTER RD,85458,150.0,1962.0,DI,Y,03b74ba2-6666-40d8-87d8-40c8c6d3ffc1
-80.4580765245719,43.4404674929673,8041,1846,2013-02-27 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,CIRCUMFERENTIAL,UNKNOWN,Y,Y,Y,Y,Y,Y,CATEGORY 1,13265,MONTGOMERY RD,27160,150.0,1951.0,CI,Y,df0cd825-65e5-485a-bc9f-5420e95664c9
-80.4794302992317,43.4626670101834,8042,1847,2013-02-23 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,CIRCUMFERENTIAL,UNKNOWN,Y,Y,Y,Y,Y,Y,CATEGORY 1,6966,WELLINGTON ST N,41690,300.0,1929.0,CI,Y,8322c43b-63a9-4077-8f44-a83f7bb117a9
-80.4718048430121,43.4689796415678,8043,1848,2013-02-22 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,CIRCUMFERENTIAL,AGE,Y,Y,Y,Y,Y,Y,CATEGORY 1,12661,GUELPH ST,59960,150.0,1957.0,CI,Y,88953970-2938-4287-9bca-698fb628642d
-80.4730462613692,43.4511384692333,8044,1849,2013-02-20 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,FITTING/JOINT,COMBINATION,Y,Y,Y,Y,Y,Y,CATEGORY 1,11490,MERNER AVE,98392,150.0,2014.0,PVCO,N,e7a3c396-65b4-4ee1-9e90-8749df77c5e2
-80.5276205751707,43.4495983522932,8045,1850,2013-02-20 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,CIRCUMFERENTIAL,CORROSION,Y,Y,Y,Y,Y,Y,CATEGORY 1,1284,ABERDEEN RD,290,150.0,1958.0,CI,N,79c0028a-f93e-4a69-969c-99dcf35c5ea6
-80.4371706511267,43.4326347550061,8046,1851,2013-02-20 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,CIRCUMFERENTIAL,CORROSION,Y,Y,Y,Y,Y,Y,CATEGORY 1,10771,KINZIE AVE,22490,150.0,1960.0,CI,Y,26cfbf63-38ed-4ede-9ac8-9e4acf21cea6
-80.5137390014518,43.425566880222,8047,1852,2013-02-19 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,CIRCUMFERENTIAL,AGE,Y,Y,Y,Y,Y,Y,CATEGORY 1,6224,RIPPLEWOOD CRES,88076,150.0,1960.0,CI,Y,818630ef-7a89-4094-ace3-80f61b6e7612
-80.4610181066111,43.4411431863271,8049,1856,2013-02-08 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,CIRCUMFERENTIAL,AGE,Y,Y,Y,Y,Y,Y,CATEGORY 1,10146,JACKSON AVE,20530,150.0,1947.0,CI,Y,efa90634-8b06-44c5-bfd8-ec9592cedb30
-80.4391790662296,43.458195399256,8050,1857,2013-02-08 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,CIRCUMFERENTIAL,AGE,Y,Y,Y,Y,Y,Y,CATEGORY 1,15862,QUEENSTON CRES,31880,150.0,1966.0,CI,Y,35acce3a-81df-4163-aec9-d29c76924f80
-80.448429752442,43.4604931546977,8051,1858,2013-02-09 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,CORROSION,CORROSION,Y,Y,Y,Y,Y,Y,CATEGORY 1,15911,CONFEDERATION DR,7730,150.0,1966.0,CI,Y,a42e8ad3-d974-4fe2-bbdd-ddac3459d267
-80.4862063541855,43.4746530327354,8052,1859,2013-02-09 00:00:00+00:00,MAIN,8-12 hours,REPAIR COMPLETED,CIRCUMFERENTIAL,COMBINATION,Y,Y,Y,Y,Y,Y,CATEGORY 1,12413,HAMEL AVE,17950,150.0,1964.0,CI,Y,9011255b-f042-492c-90ad-f1b2f40373f7
