longitude,latitude,incident_date,break_type,break_nature,break_apparent_cause,break_categorization,asset_size,asset_year_installed,asset_material,num_breaks,age_at_break,positive_pressure_maintaned,air_gap_maintaned,mechanical_removal,flushing_excavation,higher_velocity_flushing,anode_installed,asset_exists,connections,failure_rate
-80.4473452568233,43.4587232968056,2013-01-08,0,0,1,0,200.0,1966-01-01,4,6,47.0,1,1,1,1,1,1,1,6,0.13
-80.4940862284898,43.4271591223586,2013-01-07,0,0,1,0,150.0,1959-01-01,1,4,54.0,1,1,1,1,1,1,1,4,0.07
-80.5084872326287,43.4222443980187,2013-01-04,0,0,1,0,150.0,1962-01-01,4,4,51.0,1,1,1,1,1,1,1,4,0.08
-80.4872174746856,43.4720693109377,2013-01-05,0,0,4,0,150.0,1955-01-01,1,1,58.0,1,1,1,1,1,1,1,1,0.02
-80.500832590698,43.4296917350171,2013-01-05,0,1,1,0,150.0,1969-01-01,4,1,44.0,1,1,1,1,1,1,1,2,0.02
-80.4402495737358,43.4483548673199,2013-01-06,0,0,2,0,150.0,1966-01-01,1,4,47.0,1,1,1,1,1,1,1,7,0.09
-80.4942947924773,43.4021788413485,2007-04-27,0,4,4,0,450.0,2002-01-01,6,1,5.0,1,1,1,1,1,1,1,1,0.2
-80.5298337271938,43.424403616277,2000-08-03,0,4,4,0,200.0,1975-01-01,4,4,25.0,1,1,1,1,1,1,1,6,0.16
-80.4305036658332,43.4294472834986,2006-03-15,0,4,4,0,150.0,1961-01-01,1,7,45.0,1,1,1,1,1,1,1,8,0.16
-80.5141838028954,43.4280347074737,2002-01-02,0,4,4,0,200.0,1962-01-01,1,6,40.0,1,1,1,1,1,1,1,6,0.15
-80.530740191598,43.4400214230053,1998-11-02,0,4,4,0,150.0,1970-01-01,6,9,28.0,1,1,1,1,1,1,1,9,0.32
-80.5097648160508,43.4259890532761,2000-02-09,0,4,4,0,150.0,1962-01-01,1,10,38.0,1,1,1,1,1,1,1,11,0.26
-80.46333219769,43.4334419913955,1997-01-29,0,4,4,0,150.0,1958-01-01,1,4,39.0,1,1,1,1,1,1,1,4,0.1
-80.4710995843021,43.450148624496,2006-02-13,0,4,4,0,300.0,1939-01-01,1,2,67.0,1,1,1,1,1,1,1,2,0.03
-80.4843808353865,43.4702545692515,2002-08-23,0,4,4,0,450.0,1937-01-01,1,6,65.0,1,1,1,1,1,1,1,6,0.09
-80.4655914587121,43.4379387646759,1998-07-07,0,4,4,0,300.0,1935-01-01,1,4,63.0,1,1,1,1,1,1,1,5,0.06
-80.4400141224931,43.4255613126634,2006-11-14,0,4,4,0,450.0,1962-01-01,1,2,44.0,1,1,1,1,1,1,1,3,0.05
-80.4376237083255,43.4470485403557,2003-02-19,0,4,4,0,150.0,1967-01-01,1,5,36.0,1,1,1,1,1,1,1,7,0.14
-80.5213600652494,43.4214123944923,2003-11-13,0,4,4,0,150.0,1968-01-01,1,1,35.0,1,1,1,1,1,1,1,1,0.03
-80.466150693406,43.4657108076875,2009-11-20,0,4,4,0,300.0,1960-01-01,1,4,49.0,1,1,1,1,1,1,1,8,0.08
-80.4939567347753,43.4640945578068,2005-02-01,0,4,4,0,150.0,1951-01-01,1,1,54.0,1,1,1,1,1,1,1,1,0.02
-80.4147159478408,43.4330244520583,2008-12-01,0,4,4,0,300.0,1979-01-01,4,1,29.0,1,1,1,1,1,1,1,1,0.03
-80.4722271450058,43.4258397985575,1998-10-27,0,4,4,0,200.0,1959-01-01,4,1,39.0,1,1,1,1,1,1,1,6,0.03
-80.4612671389239,43.4239606258696,2007-08-16,0,1,4,0,150.0,1967-01-01,1,4,40.0,1,1,1,1,1,1,1,4,0.1
-80.5190465539949,43.4317429998697,2010-10-13,0,0,1,0,150.0,1967-01-01,1,6,43.0,1,1,1,1,1,1,1,6,0.14
-80.5190342345688,43.4236865966143,2010-12-01,0,0,6,0,150.0,1962-01-01,1,6,48.0,1,1,1,1,1,1,1,4,0.12
-80.4694454480174,43.4574385239474,2007-02-17,0,4,4,0,150.0,1953-01-01,1,3,54.0,1,1,1,1,1,1,1,3,0.06
-80.444276302706,43.4421611967005,2010-10-25,0,0,0,0,150.0,1962-01-01,1,5,48.0,1,1,1,1,1,1,1,5,0.1
-80.4711406826658,43.450213292096,2011-01-02,0,2,1,0,300.0,1939-01-01,1,2,72.0,1,1,1,1,1,1,1,2,0.03
-80.5364323365234,43.4187201904885,2011-06-01,0,1,1,0,150.0,1975-01-01,4,2,36.0,1,1,1,1,1,1,1,2,0.06
-80.4406129834913,43.4473059790372,2011-12-12,0,0,1,0,150.0,1966-01-01,1,6,45.0,1,1,1,1,1,1,1,6,0.13
-80.4446448456727,43.4629900676258,2010-12-10,0,0,0,0,150.0,1966-01-01,1,3,44.0,1,1,1,1,1,1,1,4,0.07
-80.5174894694011,43.435708702329,2011-02-12,0,4,4,0,200.0,1973-01-01,4,1,38.0,1,1,1,1,1,1,1,1,0.03
-80.4348251215968,43.4524959950735,2011-04-29,0,0,0,0,150.0,1967-01-01,4,2,44.0,1,1,1,1,1,1,1,2,0.05
-80.4580206780539,43.4538538933885,2010-01-10,0,0,0,0,150.0,1964-01-01,1,2,46.0,1,1,1,1,1,1,1,2,0.04
-80.5567056631554,43.4219053222802,2010-01-08,0,2,3,0,300.0,2002-01-01,5,1,8.0,1,1,1,1,1,1,1,1,0.12
-80.4476571512762,43.4423887617807,2010-07-07,0,0,2,0,150.0,1959-01-01,1,10,51.0,1,1,1,1,1,1,1,10,0.2
-80.5043567203396,43.4195132331824,2010-02-05,0,1,1,0,200.0,1968-01-01,4,3,42.0,1,1,1,1,1,1,1,3,0.07
-80.5117440289198,43.4269427361529,2011-03-02,0,0,0,0,150.0,1960-01-01,1,6,51.0,1,1,1,1,1,1,1,10,0.12
-80.4441998269671,43.4706166269346,2010-05-23,0,1,2,0,300.0,1978-01-01,4,1,32.0,1,1,1,1,1,1,1,1,0.03
-80.5178758196796,43.4329512109015,2010-10-26,0,1,0,0,150.0,1965-01-01,4,1,45.0,1,1,1,1,1,1,1,1,0.02
-80.5065566176212,43.4274627177508,2011-02-18,0,0,0,0,150.0,1962-01-01,1,10,49.0,1,1,1,1,1,1,1,11,0.2
