break_type,break_nature,break_apparent_cause,break_categorization,asset_size,asset_material,num_breaks,age_at_break,positive_pressure_maintaned,air_gap_maintaned,mechanical_removal,flushing_excavation,higher_velocity_flushing,anode_installed,asset_exists,failure_rate
0,4,4,2,150.0,1,3,96,1,1,1,1,1,1,1,0.0312
0,0,0,0,150.0,1,2,53,1,1,1,1,1,1,1,0.0377
0,0,0,0,150.0,1,9,59,1,1,1,1,1,1,1,0.1525
0,4,4,2,150.0,1,3,57,1,1,1,1,1,1,1,0.0526
0,0,0,0,150.0,1,3,57,1,1,0,0,0,1,1,0.0526
0,4,4,2,150.0,1,6,66,1,1,1,1,1,1,1,0.0909
0,0,4,0,150.0,4,2,53,1,1,1,1,1,1,1,0.0377
0,4,4,2,200.0,4,2,54,1,1,1,1,1,1,1,0.037
0,0,0,0,200.0,1,1,59,1,1,1,1,1,1,1,0.0169
0,4,0,2,150.0,1,8,60,1,1,1,1,1,1,1,0.1333
0,0,0,0,150.0,1,1,59,1,1,1,1,1,1,1,0.0169
0,0,0,0,150.0,1,8,60,1,1,1,1,1,1,1,0.1333
0,0,0,0,150.0,1,9,60,1,1,1,1,1,1,1,0.15
0,0,0,0,150.0,1,4,61,1,1,1,1,1,1,1,0.0656
0,0,0,0,150.0,4,2,38,1,1,1,1,1,1,1,0.0526
0,0,0,0,100.0,1,3,64,1,1,1,1,1,1,1,0.0469
0,4,4,2,600.0,4,1,42,1,1,1,1,1,1,1,0.0238
0,4,4,0,200.0,1,1,61,1,1,1,1,1,1,1,0.0164
0,4,4,2,150.0,1,4,62,1,1,1,1,1,1,1,0.0645
0,4,4,2,200.0,1,3,67,1,1,1,1,1,1,1,0.0448
0,0,4,0,150.0,1,6,54,1,1,1,1,1,1,1,0.1111
0,0,4,0,300.0,1,2,54,1,1,1,1,1,1,1,0.037
0,0,4,1,150.0,1,2,62,0,0,1,1,1,1,1,0.0323
0,4,4,2,1200.0,3,2,31,1,1,1,1,1,1,1,0.0645
0,4,4,2,150.0,1,1,56,1,1,1,1,1,1,1,0.0179
0,4,4,2,450.0,1,1,56,1,1,1,1,1,1,1,0.0179
0,4,4,1,300.0,1,2,54,1,1,1,1,1,1,1,0.037
0,2,4,0,150.0,4,1,42,1,1,1,1,1,1,1,0.0238
0,1,4,0,150.0,4,4,39,1,1,1,1,1,1,1,0.1026
0,4,4,2,100.0,1,5,65,1,1,1,1,1,1,1,0.0769
1,5,0,0,13.0,8,1,48,1,1,0,1,1,1,1,0.0208
0,4,4,2,150.0,4,1,32,1,1,1,1,1,1,1,0.0312
0,4,4,2,150.0,1,2,80,1,1,1,1,1,1,1,0.025
0,1,0,0,150.0,1,2,80,1,1,1,1,1,1,1,0.025
0,1,4,0,300.0,4,3,39,1,1,1,1,1,1,1,0.0769
0,4,4,2,200.0,4,3,44,1,1,1,1,1,1,1,0.0682
0,4,4,2,200.0,4,3,44,1,1,1,1,1,1,1,0.0682
0,1,4,1,200.0,4,3,44,1,1,1,1,1,1,1,0.0682
0,1,4,1,150.0,1,3,61,0,0,1,0,1,1,1,0.0492
0,4,4,2,300.0,1,1,62,1,1,1,1,1,1,1,0.0161
0,1,2,0,150.0,1,1,72,1,1,1,0,1,1,1,0.0139
0,4,4,2,150.0,4,1,50,1,1,1,1,1,1,1,0.02
