OBJECTID,WATMAINID,STATUS,PRESSURE_ZONE,ROADSEGMENTID,MAP_LABEL,CATEGORY,PIPE_SIZE,MATERIAL,LINED,LINED_DATE,LINED_MATERIAL,INSTALLATION_DATE,ACQUISITION,CONSULTANT,OWNERSHIP,BRIDGE_MAIN,BRIDGE_DETAILS,CRITICALITY,REL_CLEANING_AREA,REL_CLEANING_SUBAREA,UNDERSIZED,SHALLOW_MAIN,CONDITION_SCORE,OVERSIZED,CLEANED,GlobalID,Shape__Length
78429,83240,ACTIVE,KIT 4,5874,2.2m 150mm  PVC,TREATED,150,PVC,NO,,NONE,1086048000000.0,PURCHASED,,KITCHENER,N,,0,2,7,N,N,9.35,N,N,00165582-d8ee-4a71-9eba-986da53e791a,2.23449819395288
78430,9640,ACTIVE,KIT 4,10068,38.4m 300mm  CI,TREATED,300,CI,NO,,NONE,-725846400000.0,PURCHASED,,KITCHENER,N,,7,5,3,N,N,7.75,N,N,f8985666-9cdd-438f-a2aa-71bd79abe2af,38.4362595538127
78431,83242,ACTIVE,KIT 4,22415,287.1m 300mm  PVC,TREATED,300,PVC,NO,,NONE,1054425600000.0,DONATED,,KITCHENER,N,,7,4,31,N,N,9.35,N,N,649131f6-7e37-4997-96c7-c2b5f51ced2d,287.13613128768
78432,83244,ACTIVE,KIT 4,602100,1.8m 300mm  PVC,TREATED,300,PVC,NO,,NONE,1054425600000.0,DONATED,,KITCHENER,N,,7,4,33,N,N,9.35,N,N,b00b7ebf-d408-4774-a13d-3c2dfb896594,1.75545291056339
78433,69390,ACTIVE,KIT 4,22415,311.4m 300mm  PVC,TREATED,300,PVC,NO,,NONE,1054425600000.0,DONATED,,KITCHENER,N,,8,4,0,N,N,9.35,N,N,a1bf5b1f-9429-4028-a3e2-4db314114fcb,311.355993429583
78435,146354,ACTIVE,KIT 5,9503,240.2m 600mm  PVC,TREATED,600,PVC,NO,,NONE,1644537600000.0,PURCHASED,REGION,REGION,N,,8,6,0,N,N,8.5,N,Y,af3dfc62-85bb-44f7-ba2e-adbc9f166e9d,240.151332270064
78436,83248,ACTIVE,KIT 4,6368,14.5m 450mm  DI,TREATED,450,DI,NO,,NONE,86745600000.0,PURCHASED,,DUAL CITY AND REGION,N,,6,3,0,N,N,8.5,N,N,f3ae1b28-960d-4246-a2ad-e910722570f4,14.5233641971446
78437,83250,ACTIVE,KIT 4,6583,1m 450mm  DI,TREATED,450,DI,NO,,NONE,86745600000.0,PURCHASED,,DUAL CITY AND REGION,N,,6,1,1,N,N,8.5,N,N,781230ef-2ef2-4a3f-88d5-19e8c46bb577,0.968234105184281
78438,36890,ACTIVE,KIT 4,6394,62m 450mm  DI,TREATED,450,DI,NO,,NONE,86745600000.0,PURCHASED,,DUAL CITY AND REGION,N,,6,1,0,N,N,8.5,N,N,f03dc4bf-7d53-4f53-9adb-0f7efc6a0a7f,61.9590732895183
78439,61874,ACTIVE,KIT 4,8742,43.3m 450mm  DI,UNTREATED,450,DI,NO,,NONE,-157766400000.0,DONATED,,REGION,N,,0,2,8,N,N,8.5,N,N,9473f2fc-7714-44ce-a842-f414edc02a7d,43.2573443266262
78440,69083,ACTIVE,KIT 5,600550,57.1m 200mm  PVC,TREATED,200,PVC,NO,,NONE,1216339200000.0,DONATED,,KITCHENER,N,,5,3,0,N,N,9.35,N,N,31da5414-d915-432b-a8b6-ca0be6d266ce,57.0556778123239
78441,83252,ACTIVE,KIT 5,600550,9.7m 200mm  PVC,TREATED,200,PVC,NO,,NONE,1216339200000.0,DONATED,,KITCHENER,N,,5,3,0,N,N,9.35,N,N,53a81867-2ba8-4815-ab6d-9e77865e1ad8,9.7031233524976
78444,83256,ACTIVE,KIT 5,601313,3.2m 150mm  PVC,TREATED,150,PVC,NO,,NONE,1117584000000.0,DONATED,,KITCHENER,N,,6,6,24,N,N,9.35,N,Y,1881380a-dc3d-4373-afed-9aa24f6f5b2e,3.20120983331953
78445,83258,ACTIVE,KIT 5,601313,69.4m 150mm  PVC,TREATED,150,PVC,NO,,NONE,1117584000000.0,DONATED,,KITCHENER,N,,6,6,24,N,N,9.35,N,Y,27d55798-f74b-459c-ba8f-18874742ea0b,69.4029278431169
78446,72470,ACTIVE,KIT 5,601313,69.3m 150mm  PVC,TREATED,150,PVC,NO,,NONE,1117584000000.0,DONATED,,KITCHENER,N,,6,6,24,N,N,9.35,N,Y,52886d1c-cd21-477d-9d69-981cd46ddbe0,69.2513871885593
78448,83262,ACTIVE,KIT 4,20719,18.1m 300mm  DI,TREATED,300,DI,NO,,NONE,675734400000.0,PURCHASED,,KITCHENER,N,,7,1,7,N,N,9.1,N,N,3f5eb933-ad31-4627-af45-504bbd346f26,18.1347009678912
78449,19110,ACTIVE,KIT 4,20994,118.7m 300mm  DI,TREATED,300,DI,NO,,NONE,675734400000.0,PURCHASED,,KITCHENER,N,,8,1,21,N,N,9.1,N,N,adef38d7-707a-4af2-9caf-38e911016a3e,118.731217564887
78450,83264,ACTIVE,KIT 4,20994,100.6m 300mm  DI,TREATED,300,DI,NO,,NONE,675734400000.0,PURCHASED,,KITCHENER,N,,8,1,21,N,N,9.1,N,N,f0e25fb8-b008-4cc1-8458-7b68d54bd697,100.598433779964
78451,74790,ACTIVE,KIT 5,20634,6.4m 50mm  PVC,TREATED,50,PVC,NO,,NONE,1149120000000.0,DONATED,,KITCHENER,N,,5,6,44,N,N,9.35,N,Y,7fac18c1-5700-4bf7-9b67-26f269f2bcd3,6.43947285079689
78452,83266,ACTIVE,KIT 5,20634,.6m 50mm  PVC,TREATED,50,PVC,NO,,NONE,1149120000000.0,DONATED,,KITCHENER,N,,0,6,44,N,N,9.35,N,Y,9dc1efa6-13da-4f37-8edf-1fc057b9c72f,0.62994730529038
78453,83268,ACTIVE,KIT 4,602365,2m 300mm  PVC,TREATED,300,PVC,NO,,NONE,788918400000.0,DONATED,,KITCHENER,N,,7,4,33,N,N,9.35,N,N,16ee2131-7ff5-47ed-a5ac-0cc743cb937c,1.98232461481946
78454,83270,ACTIVE,KIT 4,602365,3.7m 300mm  PVC,TREATED,300,PVC,NO,,NONE,788918400000.0,DONATED,,KITCHENER,N,,6,4,33,N,N,9.35,N,N,5c9c76f6-460e-45d0-adcc-da096669aaae,3.70420351044962
78455,76113,ACTIVE,KIT 4,602365,203.5m 300mm  PVC,TREATED,300,PVC,NO,,NONE,788918400000.0,DONATED,,KITCHENER,N,,7,4,33,N,N,9.35,N,N,a2e69499-a581-49d7-bd03-1992c903f816,203.478932010735
78456,44500,ACTIVE,KIT 4,22489,131.9m 300mm  DI,TREATED,300,DI,NO,,NONE,675734400000.0,DONATED,,KITCHENER,N,,7,4,27,N,N,9.1,N,N,16683464-da58-4cce-ae0b-5f9d8d81e7fa,131.925736775972
78457,83272,ACTIVE,KIT 4,22489,10.5m 300mm  DI,TREATED,300,DI,NO,,NONE,675734400000.0,DONATED,,KITCHENER,N,,6,4,27,N,N,9.1,N,N,a4f14ea3-754a-4aff-8501-deeee61a17b3,10.4512270898105
78458,83274,ACTIVE,KIT 4,22489,6.6m 300mm  DI,TREATED,300,DI,NO,,NONE,675734400000.0,DONATED,,KITCHENER,N,,6,4,30,N,N,9.1,N,N,ed7a0056-6713-41d8-83d4-bd2c64147986,6.61146073584215
