OBJECTID,WATBREAKINCIDENTID,INCIDENT_DATE,BREAK_TYPE,ROAD_CLOSED,SIDEWALK_CLOSED,HOUR_IMPACTED,UNITS_IMPACTED,CW_SERVICE_REQUEST,STATUS,STATUS_DATE,WORKORDER,RETURN_TO_NORMAL,BREAK_NATURE,BREAK_APPARENT_CAUSE,REPAIR_TYPE,NEW_SECTION_LENGTH,MAINTENANCE_DESC,VALVES_CLOSED,VALVES_OPENED,HYDRANTS_CALLED_OUT,HYDRANTS_CALLED_BACK_IN,POSITIVE_PRESSURE_MAINTANED,AIR_GAP_MAINTANED,DISINFECTED,MECHANICAL_REMOVAL,FLUSHING_EXCAVATION,HIGHER_VELOCITY_FLUSHING,ANODE_INSTALLED,BREAK_CATEGORIZATION,BACTERIA_TESTING_DATE,HEALTH_DEPT_NOTIFICATION,MOECC_SAC_NOTIFICATION,SAC_REFERENCE_NO,LOCAL_MOE_OFFICE,BWA_DWA,BWA_DWA_DECLARED,PROCEEDURES_FOLLOWED,RECORD_CHANGE_REQD,ROADSEGMENTID,CIVIC_NUMBER,STREET,ASSETID,ASSET_DEPTH,FROST_DEPTH,ASSET_SIZE,ASSET_YEAR_INSTALLED,ASSET_MATERIAL,ASSET_EXISTS,GLOBALID
8020,435,1076630400000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963506000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,22901,66,WEDGEWOOD DR,41460,,,150.0,1958,CI,Y,227c08a8-119e-4ffa-b7ba-9d4b5d949589
8021,810,885513600000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963507000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,23116,42,TUPPER CRES,38490,,,150.0,1966,CI,Y,7b7a2206-6e79-43c4-b1a5-1b7840f953cc
8022,698,880502400000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963507000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,13177,33,CARNABY CRES,5510,,,150.0,1967,CI,Y,9b6a88d1-0c7f-438f-98c0-fd03b2b60209
8023,92,1064188800000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963506000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,1266,210,GLASGOW ST,79000,,,300.0,2013,PVCO,N,87145d23-d418-4c40-bc7d-96f4f6455a58
8024,1295,1106956800000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963507000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,5724,17,RUBY ST,72730,,,150.0,2005,PVC,N,65adfa46-fa5d-48d2-9c77-aaa9d1e71a88
8025,1366,1234310400000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963508000,4620.0,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,10954,479,GREENFIELD AVE,17400,,,150.0,1953,CI,Y,3efb365d-07f8-48df-808d-2a10fce168f4
8026,305,1110672000000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963506000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,13316,119,PLYMOUTH RD,76727,,,150.0,2010,PVC,N,ef4fe908-6aa2-44cd-8f4b-4cfc9c0a05f3
8027,1341,1232150400000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963508000,3475.0,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,23174,93,KINGSTON CRES,22200,,,150.0,1966,CI,Y,1092fdd4-37f9-440f-935b-fbd7dd1ab460
8028,1384,1241049600000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963508000,9288.0,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,11743,436,OTTAWA ST S,95460,,,,,,N,e9f999c9-9b13-4951-aee7-baea12cd9d9e
8029,741,873417600000,MAIN,Open,Open,8-12 hours,,,REPAIR COMPLETED,1323963507000,,,UNKNOWN,OTHER,,,,,,,,Y,Y,Y,Y,Y,Y,Y,CATEGORY 1,,,,,,N,,Y,N,13197,131,RENNIE DR,32170,,,150.0,1963,CI,Y,c0e94a96-cf7f-4fa3-b1e0-b8bb502953bd
