OBJECTID,WATMAINID,STATUS,PRESSURE_ZONE,ROADSEGMENTID,MAP_LABEL,CATEGORY,PIPE_SIZE,MATERIAL,LINED,LINED_DATE,LINED_MATERIAL,INSTALLATION_DATE,ACQUISITION,CONSULTANT,OWNERSHIP,BRIDGE_MAIN,BRIDGE_DETAILS,CRITICALITY,REL_CLEANING_AREA,REL_CLEANING_SUBAREA,UNDERSIZED,SHALLOW_MAIN,CONDITION_SCORE,OVERSIZED,CLEANED,GlobalID,Shape__Length
88974,93352,ACTIVE,KIT 5,9562,1.7m 150mm  DI,TREATED,150,DI,NO,,NONE,1977/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,6,21,N,N,8.5,N,N,1be567ee-f697-4dc7-a3d4-b49da0de1e30,1.65186638636878
88977,93356,ACTIVE,KIT 5,600187,10.8m 200mm  PVC,TREATED,200,PVC,NO,,NONE,2005/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,6,25,N,N,9.35,N,Y,219060d2-447a-4492-b7f5-15178ca591da,10.8424328263102
88978,70860,ACTIVE,KIT 5,600187,326.6m 200mm  PVC,TREATED,200,PVC,NO,,NONE,2005/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,6,25,N,N,9.35,N,Y,fd0ecc64-e9db-45b1-b995-873ed565482a,326.606838073947
88979,93358,ACTIVE,KIT 5,600187,10.7m 200mm  PVC,TREATED,200,PVC,NO,,NONE,2005/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,6,25,N,N,9.35,N,Y,0665cc0c-84f2-44ce-8606-4424531b4084,10.690660941354
88980,26390,ACTIVE,KIT 4,8756,60.5m 150mm  CI,TREATED,150,CI,NO,,NONE,1953/06/01 00:00:00+00,DONATED,,KITCHENER,N,,6,1,19,N,N,7.75,N,N,6f9b01dd-e4ca-4aa6-ac37-a0045c7bd6db,60.5305361560091
88983,93364,ACTIVE,KIT 2W,601415,8m 150mm  PVC,TREATED,150,PVC,NO,,NONE,2005/11/01 00:00:00+00,DONATED,KMK,KITCHENER,N,,6,5,39,N,N,9.35,N,N,bcd8d9f2-9f2d-4101-877d-c41225abf9c7,7.977449299425
88984,74460,ACTIVE,KIT 2W,601415,138.6m 150mm  PVC,TREATED,150,PVC,NO,,NONE,2005/11/01 00:00:00+00,DONATED,KMK,KITCHENER,N,,6,5,39,N,N,9.35,N,N,bcb60ec1-e0bc-4789-aabd-367ab535db01,138.631028976129
88985,37700,ACTIVE,KIT 4,9337,243.2m 150mm  DI,TREATED,150,DI,NO,,NONE,1978/01/01 00:00:00+00,DONATED,,KITCHENER,N,,5,3,7,N,N,8.5,N,N,dd20c2b3-d7cd-400b-9868-cd39a931ef51,243.243619734149
88986,93366,ACTIVE,KIT 4,21964,4m 150mm  DI,TREATED,150,DI,NO,,NONE,1978/01/01 00:00:00+00,DONATED,,KITCHENER,N,,0,3,7,N,N,8.5,N,N,b13dd692-791d-47a4-b6fc-3998c5a377ae,4.00064317216062
88987,93368,ACTIVE,KIT 4,9337,175m 150mm  DI,TREATED,150,DI,NO,,NONE,1978/01/01 00:00:00+00,DONATED,,KITCHENER,N,,5,3,7,N,N,8.5,N,N,d56c30a7-4e2b-47c3-8787-7a3dd736ff29,175.027390206178
88988,93370,ACTIVE,KIT 4,9337,8.6m 150mm  DI,TREATED,150,DI,NO,,NONE,1978/01/01 00:00:00+00,DONATED,,KITCHENER,N,,5,3,7,N,N,8.5,N,N,59e14003-7165-4382-930a-75086db24419,8.55746902770625
88989,93372,ACTIVE,KIT 4,23060,107.5m 150mm  CI,TREATED,150,CI,NO,,NONE,,PURCHASED,,KITCHENER,N,,6,4,29,N,N,7.85,N,N,369ab0c9-3473-46f5-859d-9a954711790d,107.494643048717
88990,20580,ACTIVE,KIT 4,23060,135.3m 150mm  CI,TREATED,150,CI,NO,,NONE,,PURCHASED,,KITCHENER,N,,6,4,29,N,N,4.25,N,N,75f1e4ec-1625-4939-b0a4-016fccb6f654,135.271579595988
88991,93374,ACTIVE,KIT 4,23063,.6m 150mm  CI,TREATED,150,CI,NO,,NONE,,PURCHASED,,KITCHENER,N,,6,4,29,N,N,7.85,N,N,ab2f75f5-3109-4ec6-aed5-7b1cbc8fdb71,0.608618766601466
88992,66410,ACTIVE,KIT 4,22772,29.9m 150mm  AC,TREATED,150,AC,NO,,NONE,1975/06/01 00:00:00+00,DONATED,,KITCHENER,N,,5,3,18,N,N,8.7,N,N,03046165-fa64-4cb7-a0d0-bad0b513ed3f,29.9044362266961
