OBJECTID,WATMAINID,STATUS,PRESSURE_ZONE,ROADSEGMENTID,MAP_LABEL,CATEGORY,PIPE_SIZE,OVERSIZED_DIAMETER,MATERIAL,LINED,LINED_DATE,LINED_MATERIAL,INSTALLATION_DATE,ACQUISITION,CONSULTANT,OWNERSHIP,BRIDGE_MAIN,BRIDGE_DETAILS,CRITICALITY,REL_CLEANING_AREA,REL_CLEANING_SUBAREA,UNDERSIZED,SHALLOW_MAIN,CONDITION_SCORE,OVERSIZED,GlobalID,Shape__Length
87646,91960,ACTIVE,KIT 4,10004,7.6m 150mm  CI,TREATED,150,,CI,NO,,NONE,1953/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,5,7,N,N,7.75,N,95624614-b63d-4d5d-b41b-c5455fd43d5a,7.6031267773373
87647,7850,ACTIVE,KIT 4,10004,73.2m 150mm  CI,TREATED,150,,CI,NO,,NONE,1953/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,5,7,N,N,5.35,N,09f4177a-5ba1-4968-98dd-dec4628d9a08,73.1988307605356
87649,91964,ACTIVE,KIT 2W,600229,10.9m 300mm  PVC,TREATED,300,,PVC,NO,,NONE,2010/08/27 00:00:00+00,DONATED,,KITCHENER,N,,5,5,37,N,N,9.35,N,25b12e96-248a-42e9-8fbd-1b4b00e00c46,10.9086882076879
87650,76593,ACTIVE,KIT 2W,600229,49.5m 300mm  PVC,TREATED,300,,PVC,NO,,NONE,2010/08/27 00:00:00+00,DONATED,,KITCHENER,N,,6,5,37,N,N,9.35,N,7c0bb237-ca0f-4de5-bd66-004ec3e2c96f,49.4770290718928
87651,76022,ACTIVE,KIT 4,8782,7m 300mm  PVC,TREATED,300,,PVC,NO,,NONE,2006/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,2,6,N,N,9.35,N,3e51e007-a4d8-422f-954b-5c009ca19859,6.96850451239026
87652,91966,ACTIVE,KIT 4,9124,9m 300mm  DI,TREATED,300,,DI,NO,,NONE,1978/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,3,12,N,N,8.5,N,7926f94a-27f0-4df2-90e7-2dd9ac88220f,8.96379408873921
87653,12050,ACTIVE,KIT 4,9124,28.7m 300mm  DI,TREATED,300,,DI,NO,,NONE,1978/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,3,12,N,N,8.5,N,2649e589-3d67-4f8d-994c-54bf75dbcadb,28.6887277723187
87654,28470,ACTIVE,KIT 6,5488,135m 200mm  DI,TREATED,200,,DI,NO,,NONE,1989/03/01 00:00:00+00,DONATED,PI,KITCHENER,N,,6,6,0,N,N,9.1,N,c2973f51-0881-4461-bfe0-6f13457061d4,134.954847586639
87655,91968,ACTIVE,KIT 6,5488,92.6m 200mm  DI,TREATED,200,,DI,NO,,NONE,1989/03/01 00:00:00+00,DONATED,PI,KITCHENER,N,,6,6,0,N,N,9.1,N,0befc56b-b9a1-44b8-bb3f-14bcd42c3066,92.6207234440344
87656,79714,ACTIVE,KIT 4A,540397,11.3m 200mm  PVC,TREATED,200,,PVC,NO,,NONE,2000/06/01 00:00:00+00,DONATED,,KITCHENER,N,,5,2,42,N,N,9.35,N,c6182851-94f1-4e9c-b433-1a6cc624d6b2,11.2990627582051
